asin,title,category,us_price,us_sold,us_rating,us_reviews,listed_since,de_listed,de_price_eur,de_sold,de_offers,de_max_cogs_25,ae_price_usd,ae_max_cogs_25,target_cogs,est_net_unit,est_monthly_net,verdict,rationale,alibaba_url,url
B0GH7X9FGS,"LEVOIT Tower Fan for Bedroom, 20dB Quiet Desk Fan with 23ft/s, Portable & Easy to Carry, 3-Angle & 5-Speed Mini Oscillating Fan, DC Motor, Bladeless, Remoter, 12H Timer, for Home, Room, Office, White","Home & Kitchen > Heating, Cooling & Air Quality",39.98,9000,4.4,1081,2026-04-03,нет,,,,,37.98,9.17,9.17,8.55,7695.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈9000/мес; + вход при закупке ≤$3.50 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=tower%20fan%20bedroom%20quiet%20desk,https://www.amazon.com/dp/B0GH7X9FGS
B0GQ31LD4R,"OLIXIS 3 Inch Twin XL Size Gel Infused Memory Foam Mattress Topper, Soft Breathable Cooling Bed Pad, a Comfortable Bed Mattress Overlay for Bedroom, RV, Camper and Sleeper Sofa, CertiPUR-US Certified",Home & Kitchen > Bedding,45.81,7000,4.4,625,2026-02-25,нет,,,,,43.52,8.96,8.96,9.79,6853.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − тяжёлый товар 3.1 кг",https://www.alibaba.com/trade/search?SearchText=twin%20size%20gel%20infused%20memory,https://www.amazon.com/dp/B0GQ31LD4R
B0GPZQYZTJ,"HydroJug Traveler 40oz, Insulated Tumbler with Handle & Straw, Olive",Home & Kitchen > Kitchen & Dining,39.99,7000,4.6,17513,2026-02-24,нет,,,,,37.99,10.33,10.33,8.55,5985.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + вход при закупке ≤$5.34 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (4 офферов); − волатильность цены 0.644; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=traveler%20insulated%20tumbler%20handle%20straw,https://www.amazon.com/dp/B0GPZQYZTJ
B0GLWT7PR4,"HP 63/65 Tri-Color Ink Cartridge (Replaces and Works with Both 63 & 65) | Works with AMP; DeskJet 1100, 2100, 2600, 3600; Envy 4500, 5000; OfficeJet 3800, 4600, 5200 Series | B7RT2AN.",Office Products > Office Electronics,26.89,10000,4.7,89887,2026-04-13,нет,,,,,25.55,6.57,6.57,5.75,5750.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + вход при закупке ≤$3.86 даёт маржу 25%; + Buy Box не у Amazon; − много офферов (22); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=tri%20color%20ink%20cartridge%20replaces,https://www.amazon.com/dp/B0GLWT7PR4
B0GZZ3VM69,HAMITOR Shower Caddy Tension Pole: 4-Tier Corner Rustproof Bathroom Organizer with Soap Holder & Hooks - No-Drill Adjustable Shower Shelf for Renters - Family Stand Storage Rack - 47-123 Inch Black,Home & Kitchen > Bath,35.99,7000,4.5,115,2026-05-08,нет,,,,,34.19,5.52,5.52,7.69,5383.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈7000/мес; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=shower%20caddy%20tension%20pole%20tier,https://www.amazon.com/dp/B0GZZ3VM69
B0GKMVTD6V,"iFunSky Mini Portable Handheld Turbo Fan – Small but Mighty, Whisper-Quiet, Long-Lasting, 5-Speed High-Velocity Rechargeable battery Fan, Personal Fan for Outdoor, Travel, Gifts for Women & Men(Black)","Home & Kitchen > Heating, Cooling & Air Quality",24.16,10000,4.6,445,2026-03-15,нет,,,,,22.95,5.57,5.57,5.16,5160.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=mini%20portable%20handheld%20turbo%20fan,https://www.amazon.com/dp/B0GKMVTD6V
B0GRJ78J4D,"GENIANI Back Pain & Relaxation Gifts for Women – Electric Heating Pad for Back, Neck & Shoulders, Soft Microplush Electric Throw Heating Pad for Period Comfort, Fast Heating, Auto Shut Off, 12""x24""",Home & Kitchen > Bedding,23.72,10000,4.3,69351,2026-03-24,нет,,,,,22.53,4.59,4.59,5.07,5070.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈10000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=back%20pain%20relaxation%20gifts%20women,https://www.amazon.com/dp/B0GRJ78J4D
B0GY7YT7QZ,"myQ Smart Garage Door Video Keypad + Rechargeable Battery, with Wide-Angle Camera, Customizable PIN Codes, and Smartphone Control, Works with Chamberlain, LiftMaster and Craftsman openers",Tools & Home Improvement > Building Supplies,53.98,4000,4.4,28,2026-04-23,нет,,,,,51.28,14.66,14.66,11.54,4616.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$7.79 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 0.65; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=myq%20smart%20garage%20door%20video,https://www.amazon.com/dp/B0GY7YT7QZ
B0G1CR88J9,"Kidde Carbon Monoxide Detector, AA Battery Powered, Portable for Travel or Home, 85 dB Alarm, LED Status Light Indicators, 5th Edition, COB",Tools & Home Improvement > Safety & Security,24.88,8000,4.7,1534,2026-03-01,нет,,,,,23.64,5.83,5.83,5.32,4256.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈8000/мес; + вход при закупке ≤$3.12 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=carbon%20monoxide%20detector%20battery%20powered,https://www.amazon.com/dp/B0G1CR88J9
B0GFM2YSD1,"CXEZSIK Garden Hose 50ft Lightweight, Non-Expanding, Leak-Proof Metal Connector, No-Knot No-Tangle, Easy to Store and Carry, Wear-Resistant, 3/4GHT Flexible Water Hose, Hose for Yard, Garden, Outdoor","Patio, Lawn & Garden > Gardening & Lawn Care",29.78,6000,4.2,328,2026-02-20,нет,,,,,28.29,5.42,5.42,6.37,3822.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈6000/мес; + Buy Box не у Amazon; + конкуренция умеренная (8 офферов)",https://www.alibaba.com/trade/search?SearchText=garden%20hose%20lightweight%20non%20expanding,https://www.amazon.com/dp/B0GFM2YSD1
B0G1C86M5S,"Kidde Carbon Monoxide Detector, Plug-in with AA Battery Backup, Easy-to-Read Digital Backlit Display, 85 dB Alarm, Rotating Plug, LED Status Light Indicators, 5th Edition, COPD",Tools & Home Improvement > Safety & Security,43.97,4000,4.7,27239,2026-03-01,нет,,,,,41.77,12.54,12.54,9.4,3760.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$8.22 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=carbon%20monoxide%20detector%20plug%20battery,https://www.amazon.com/dp/B0G1C86M5S
B0GS1FPXCK,"Cosori Electric Kettle, Plastic-Free Interior, Easy to Clean, Automatic Shut Off & Boil-Dry Protection, Stainless Steel Tea Kettle, Hot Water Boiler & Heater, 1.7L, 1500W",Home & Kitchen > Kitchen & Dining,34.04,5000,4.6,5338,2026-04-15,нет,,,,,32.34,7.25,7.25,7.28,3640.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=electric%20kettle%20plastic%20free%20interior,https://www.amazon.com/dp/B0GS1FPXCK
B0GT8GJ3TR,"Advinski Garden Hose 50ft, Non-Expanding Flexible Hose with 10 Function Nozzle, Lightweight, Kink Free, Sturdy, Leak-Proof, Portable, Water Hose 50ft for Outdoor, Yard, Lawn, Car Wash and Camper Use","Patio, Lawn & Garden > Gardening & Lawn Care",27.98,6000,4.3,1941,2026-03-18,да,67.88,,1,20.75,26.58,5.09,5.09,5.98,3588.0,WATCH,"DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈6000/мес; + Buy Box не у Amazon; + конкуренция умеренная (5 офферов); − волатильность цены 1.067",https://www.alibaba.com/trade/search?SearchText=garden%20hose%20non%20expanding%20flexible,https://www.amazon.com/dp/B0GT8GJ3TR
B0H3HHXFSW,"12 Pack 3D Dragonfly Clips, Fake Dragonflies with Stakes, Realistic Plastic Dragonfly Garden Decorations, Fly Deterrent Clips for Hats, Pets, Horses, Deer, Yard, Patio, Indoor & Outdoor Decor","Patio, Lawn & Garden > Outdoor Décor",19.99,8000,4.7,268,2026-06-02,нет,,,,,18.99,4.04,4.04,4.27,3416.0,SKIP,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈8000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − экономика не сходится (закупка ≤$1.18 при марже 20%)",https://www.alibaba.com/trade/search?SearchText=dragonfly%20clips%20fake%20dragonflies%20stakes,https://www.amazon.com/dp/B0H3HHXFSW
B0GHRXNVZV,"Cordless Bug Zapper Outdoor, 4200V Electric Mosquito Zapper, Fly Trap, Rechargeable Portable Fly Zapper, Waterproof Mosquito Trap Insect Killer Indoor Outdoor for Camping, Garden, Backyard, Home","Patio, Lawn & Garden > Pest Control",31.33,5000,4.4,408,2026-03-10,нет,,,,,29.76,7.26,7.26,6.7,3350.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=cordless%20bug%20zapper%20outdoor%20electric,https://www.amazon.com/dp/B0GHRXNVZV
B0H2X17J1Z,"50ft Garden Hose, Ultra Lightweight All-Weather Water Hose, Durable & Flexible, Built-in Valve, Leak-free Connections, TPU Water Hose, Drinking Water Safe","Patio, Lawn & Garden > Gardening & Lawn Care",25.99,6000,4.2,389,2026-05-25,да,61.24,,1,20.33,24.69,4.46,4.46,5.56,3336.0,WATCH,"DE: есть листинг, ≈? шт/мес, 1 офферов; + продажи ≈6000/мес; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=garden%20hose%20ultra%20lightweight%20all,https://www.amazon.com/dp/B0H2X17J1Z
B0G62DRCJF,"Introducing Blink Wired Doorbell 2K+ — Head-to-Toe 2K video doorbell, continuous hardwired power, pair with Alexa or Blink Chime (sold separately) required for in-home alerts",Tools & Home Improvement > Electrical,49.99,3000,4.1,293,2026-04-01,нет,,,,,47.49,15.03,15.03,10.69,3207.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈3000/мес; + вход при закупке ≤$10.15 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − волатильность цены 1.636; − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=introducing%20wired%20doorbell%20head%20toe,https://www.amazon.com/dp/B0G62DRCJF
B0GNBBV935,"Safer Home Catch 360° Cordless Flying Insect Trap, UV LED Light, Chemical-Free, 10 Day Rechargeable Battery, Effective Fruit Fly Traps for Indoors, Gnat Traps for House Indoor, 1 Device + 6 Glue Cards","Patio, Lawn & Garden > Pest Control",27.74,5000,4.3,52155,2026-02-23,нет,,,,,26.35,6.06,6.06,5.93,2965.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=home%20catch%20cordless%20flying%20insect,https://www.amazon.com/dp/B0GNBBV935
B0GPXNJHD6,"Aynvixt Portable Rechargeable Fan, 20000mAh Battery Powered Camping Fan with LED Light & Hook, 270° Adjustable, 4-Speed, 4H Timer Camping Essentials for Outdoor Tent Travel BBQ Car, Gifts for Men Dad","Home & Kitchen > Heating, Cooling & Air Quality",26.99,5000,4.4,141,2026-02-24,нет,,,,,25.64,5.59,5.59,5.77,2885.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + Buy Box не у Amazon; + конкуренция умеренная (3 офферов)",https://www.alibaba.com/trade/search?SearchText=portable%20rechargeable%20fan%20mah%20battery,https://www.amazon.com/dp/B0GPXNJHD6
B0GZ2B77HT,"33 Pack Refill Cartridges Compatible with Flying Insect Trap M364, M364A & Max","Patio, Lawn & Garden > Pest Control",32.39,4000,4.6,87,2026-04-30,нет,,,,,30.77,7.61,7.61,6.92,2768.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов)",https://www.alibaba.com/trade/search?SearchText=refill%20cartridges%20compatible%20flying%20insect,https://www.amazon.com/dp/B0GZ2B77HT
B0GF1J3YM7,"Govee Edison Bulbs, Smart Vintage Light Bulbs, RGB Color Changing and Tunable White, Compatible with Matter, Alexa & Google Assistant, LED Filament Bulb, ST19(58), E26 Base for Home Decor, 4 Pack",Tools & Home Improvement > Light Bulbs,64.43,2000,4.5,149,2026-03-15,нет,,,,,61.21,19.49,19.49,13.77,2754.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈2000/мес; + вход при закупке ≤$11.67 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (1 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=edison%20bulbs%20smart%20vintage%20light,https://www.amazon.com/dp/B0GF1J3YM7
B0GY2R8WTF,"24 Pack Refill Cartridge Kit Compatible with Plug-in Light M364 and Max, Flying Insect Trap Refills Replacements for House & Fruit Flies, Easy to Use","Patio, Lawn & Garden > Pest Control",24.99,5000,4.6,165,2026-04-22,нет,,,,,23.74,5.5,5.5,5.34,2670.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈5000/мес; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов)",https://www.alibaba.com/trade/search?SearchText=refill%20cartridge%20kit%20compatible%20plug,https://www.amazon.com/dp/B0GY2R8WTF
B0GTMYN73B,"Owala SmoothSip Slider Ceramic-Lined Insulated Stainless Steel Coffee Tumbler, No Metallic Taste Reusable Travel Mug, Hot Iced Coffee Cup, BPA Free 20 oz, Very, Very Dark",Home & Kitchen > Kitchen & Dining,29.99,4000,4.8,178,2026-04-29,нет,,,,,28.49,7.37,7.37,6.41,2564.0,WATCH,"на DE не продаётся — свободная ниша, спрос проверять запуском/PPC; + продажи ≈4000/мес; + вход при закупке ≤$3.93 даёт маржу 25%; + Buy Box не у Amazon; + конкуренция умеренная (2 офферов); − известный бренд — листинг = референс ниши, продаём PL-аналог",https://www.alibaba.com/trade/search?SearchText=smoothsip%20slider%20ceramic%20lined%20insulated,https://www.amazon.com/dp/B0GTMYN73B
